locatie,month,hours_count,monthly_total_m3,monthly_mean_m3_per_h,monthly_median_m3_per_h,monthly_std_m3_per_h,expected_hours,percent_coverage,year
KGM00357_COMBINED,2006-11-30,30,139204.22,4640.140666666667,1886.11,4905.269965275512,720,4.166666666666666,2006
KGM00357_COMBINED,2006-12-31,31,196568.13,6340.907419354839,8316.0,4919.17715606514,744,4.166666666666666,2006
KGM00357_COMBINED,2007-01-31,31,214925.73,6933.08806451613,8316.0,5128.458015370324,744,4.166666666666666,2007
KGM00357_COMBINED,2007-02-28,28,163303.16999999998,5832.256071428571,7999.525,4667.980896391564,672,4.166666666666666,2007
KGM00357_COMBINED,2007-03-31,31,224395.41999999998,7238.56193548387,8316.0,5049.98255946983,744,4.166666666666666,2007
KGM00357_COMBINED,2007-04-30,30,268461.29,8948.709666666666,10692.0,3895.9623121508616,720,4.166666666666666,2007
KGM00357_COMBINED,2007-05-31,31,229527.58,7404.115483870967,10692.0,4741.302295296682,744,4.166666666666666,2007
KGM00357_COMBINED,2007-06-30,30,301027.36,10034.245333333332,10692.0,1913.9213083177276,720,4.166666666666666,2007
KGM00357_COMBINED,2007-07-31,31,316584.22,10212.394193548385,10692.0,1975.3191924948471,744,4.166666666666666,2007
KGM00357_COMBINED,2007-08-31,31,287597.06,9277.324516129032,10692.0,2895.0328036884584,744,4.166666666666666,2007
KGM00357_COMBINED,2007-09-30,30,273780.66,9126.021999999999,10692.0,2399.0007523886643,720,4.166666666666666,2007
KGM00357_COMBINED,2007-10-31,31,231660.0,7472.903225806452,8316.0,3008.456828728407,744,4.166666666666666,2007
KGM00357_COMBINED,2007-11-30,30,249480.0,8316.0,8316.0,2476.2969015906774,720,4.166666666666666,2007
KGM00357_COMBINED,2007-12-31,31,258482.09,8338.13193548387,8316.0,4026.061705887794,744,4.166666666666666,2007
KGM00357_COMBINED,2008-01-31,31,281556.0,9082.451612903225,10692.0,2683.730076326724,744,4.166666666666666,2008
KGM00357_COMBINED,2008-02-29,29,218162.02,7522.828275862069,8316.0,4166.3292344067,696,4.166666666666666,2008
KGM00357_COMBINED,2008-03-31,31,285120.0,9197.41935483871,8316.0,4022.483816202733,744,4.166666666666666,2008
KGM00357_COMBINED,2008-04-30,30,237786.16,7926.205333333333,8316.0,3314.789934047138,720,4.166666666666666,2008
KGM00357_COMBINED,2008-05-31,31,252856.26,8156.653548387097,8316.0,3573.42738319068,744,4.166666666666666,2008
KGM00357_COMBINED,2008-06-30,30,229467.49,7648.916333333333,8316.0,4072.7264485824044,720,4.166666666666666,2008
KGM00357_COMBINED,2008-07-31,31,296201.09,9554.873870967744,10692.0,2486.5469036888326,744,4.166666666666666,2008
KGM00357_COMBINED,2008-08-31,31,263798.39,8509.625483870968,10121.76,3342.878596032506,744,4.166666666666666,2008
KGM00357_COMBINED,2008-09-30,30,260192.85,8673.095,8316.0,2541.626382809122,720,4.166666666666666,2008
KGM00357_COMBINED,2008-10-31,31,255262.61,8234.277741935484,8316.0,3414.825760614744,744,4.166666666666666,2008
KGM00357_COMBINED,2008-11-30,30,223356.57,7445.219,8316.0,3794.442491437063,720,4.166666666666666,2008
KGM00357_COMBINED,2008-12-31,31,276388.2,8915.748387096775,10692.0,2783.9192126821213,744,4.166666666666666,2008
KGM00357_COMBINED,2009-01-31,31,286527.78,9242.831612903226,8316.0,2891.22871301816,744,4.166666666666666,2009
KGM00357_COMBINED,2009-02-28,28,231572.56,8270.448571428571,8316.0,4158.488166464767,672,4.166666666666666,2009
KGM00357_COMBINED,2009-03-31,31,236569.43,7631.271935483871,8316.0,3906.0425378144732,744,4.166666666666666,2009
KGM00357_COMBINED,2009-04-30,30,254232.0,8474.4,10692.0,3553.5156132755496,720,4.166666666666666,2009
KGM00357_COMBINED,2009-05-31,31,232075.8,7486.316129032258,8316.0,4024.5287475361038,744,4.166666666666666,2009
KGM00357_COMBINED,2009-06-30,30,234499.36,7816.645333333333,8316.0,3893.190248685547,720,4.166666666666666,2009
KGM00357_COMBINED,2009-07-31,31,234570.6,7566.793548387097,8316.0,3870.4217549629298,744,4.166666666666666,2009
KGM00357_COMBINED,2009-08-31,31,205339.57,6623.857096774193,8316.0,4352.038570831064,744,4.166666666666666,2009
KGM00357_COMBINED,2009-09-30,30,171386.17,5712.872333333334,8316.0,4910.900938740461,720,4.166666666666666,2009
KGM00357_COMBINED,2009-10-31,31,202848.05,6543.485483870967,8316.0,4458.663979998073,744,4.166666666666666,2009
KGM00357_COMBINED,2009-11-30,30,272406.14,9080.204666666667,8470.439999999999,2809.045345671646,720,4.166666666666666,2009
KGM00357_COMBINED,2009-12-31,31,289650.89,9343.577096774194,8316.0,2745.4012676221464,744,4.166666666666666,2009
KGM00357_COMBINED,2010-01-31,31,271621.37,8761.979677419355,8316.0,2702.2109090156573,744,4.166666666666666,2010
KGM00357_COMBINED,2010-02-28,28,243298.12,8689.218571428572,8316.0,3925.0283368438904,672,4.166666666666666,2010
KGM00357_COMBINED,2010-03-31,31,297213.84,9587.543225806452,10692.0,3625.6983222770455,744,4.166666666666666,2010
KGM00357_COMBINED,2010-04-30,30,292200.48,9740.016,10692.0,1182.612013543137,720,4.166666666666666,2010
KGM00357_COMBINED,2010-05-31,31,230237.39,7427.0125806451615,8316.0,4191.462235915582,744,4.166666666666666,2010
KGM00357_COMBINED,2010-06-30,30,269307.72,8976.923999999999,9913.86,2694.5646239402654,720,4.166666666666666,2010
KGM00357_COMBINED,2010-07-31,31,237906.58,7674.405806451612,8316.0,3868.332046099261,744,4.166666666666666,2010
KGM00357_COMBINED,2010-08-31,31,284580.51,9180.016451612904,10692.0,5206.745350321093,744,4.166666666666666,2010
KGM00357_COMBINED,2010-09-30,30,270073.98,9002.465999999999,10692.0,3601.0551559312876,720,4.166666666666666,2010
KGM00357_COMBINED,2010-10-31,31,273089.52,8809.33935483871,8316.0,4415.516226446564,744,4.166666666666666,2010
KGM00357_COMBINED,2010-11-30,30,268507.15,8950.238333333335,8316.0,2244.8337416604213,720,4.166666666666666,2010
KGM00357_COMBINED,2010-12-31,31,284472.54,9176.533548387097,10692.0,2162.0820725056487,744,4.166666666666666,2010
KGM00357_COMBINED,2011-01-31,31,295909.71,9545.474516129032,10403.93,4271.98196615563,744,4.166666666666666,2011
KGM00357_COMBINED,2011-02-28,28,253044.0,9037.285714285714,8316.0,3334.236687116601,672,4.166666666666666,2011
KGM00357_COMBINED,2011-03-31,31,256612.28,8277.815483870967,8316.0,3530.4884964310895,744,4.166666666666666,2011
KGM00357_COMBINED,2011-04-30,30,212862.57,7095.419,8316.0,4179.595183738905,720,4.166666666666666,2011
KGM00357_COMBINED,2011-05-31,31,252960.88,8160.028387096774,8316.0,3274.525092500282,744,4.166666666666666,2011
KGM00357_COMBINED,2011-06-30,30,235547.75,7851.591666666666,8316.0,3559.6032527071516,720,4.166666666666666,2011
KGM00357_COMBINED,2011-07-31,31,270864.0,8737.548387096775,10692.0,3958.594589318366,744,4.166666666666666,2011
KGM00357_COMBINED,2011-08-31,31,251876.81,8125.058387096774,8316.0,3527.91686978033,744,4.166666666666666,2011
KGM00357_COMBINED,2011-09-30,30,267891.05,8929.701666666666,8316.0,2107.355937992839,720,4.166666666666666,2011
KGM00357_COMBINED,2011-10-31,31,246313.98,7945.612258064516,8316.0,3704.006871615935,744,4.166666666666666,2011
KGM00357_COMBINED,2011-11-30,30,265963.5,8865.45,8316.0,2425.146402797159,720,4.166666666666666,2011
KGM00357_COMBINED,2011-12-31,31,277558.42,8953.497419354839,8316.0,2709.76452472162,744,4.166666666666666,2011
KGM00357_COMBINED,2012-01-31,31,313632.0,10117.161290322581,10692.0,3156.161752263596,744,4.166666666666666,2012
KGM00357_COMBINED,2012-02-29,29,245580.73,8468.30103448276,8316.0,3278.906971542656,696,4.166666666666666,2012
KGM00357_COMBINED,2012-03-31,31,287496.0,9274.064516129032,10692.0,2089.8752424564145,744,4.166666666666666,2012
KGM00357_COMBINED,2012-04-30,30,262548.0,8751.6,10692.0,3173.712952276603,720,4.166666666666666,2012
KGM00357_COMBINED,2012-05-31,31,268846.7,8672.474193548387,8316.0,2893.608539178228,744,4.166666666666666,2012
KGM00357_COMBINED,2012-06-30,30,279180.0,9306.0,10692.0,2117.8947907834295,720,4.166666666666666,2012
KGM00357_COMBINED,2012-07-31,31,237118.86,7648.995483870967,8316.0,4602.392138076922,744,4.166666666666666,2012
KGM00357_COMBINED,2012-08-31,31,238788.0,7702.8387096774195,8316.0,3986.1010783034108,744,4.166666666666666,2012
KGM00357_COMBINED,2012-09-30,30,224176.29,7472.543000000001,8316.0,3909.642090606558,720,4.166666666666666,2012
